InstitutionId,InstitutionName,col_cat,Value,Period
TOTAL,*TOTAL*,A_operational,782835119.19,2008-06-01
TOTAL,*TOTAL*,B_notice_short,321225131.96,2008-06-01
TOTAL,*TOTAL*,C_savings,97204587.28999999,2008-06-01
TOTAL,*TOTAL*,D_term_wholesale,747802477.68,2008-06-01
25054,INVESTEC BANK LTD,A_operational,28820301.0,2008-07-01
25054,INVESTEC BANK LTD,B_notice_short,36869384.0,2008-07-01
25054,INVESTEC BANK LTD,C_savings,3448148.0,2008-07-01
25054,INVESTEC BANK LTD,D_term_wholesale,59036860.0,2008-07-01
333107,CAPITEC BANK,A_operational,29298.0,2008-07-01
333107,CAPITEC BANK,B_notice_short,171898.0,2008-07-01
333107,CAPITEC BANK,C_savings,1058048.0,2008-07-01
333107,CAPITEC BANK,D_term_wholesale,949604.0,2008-07-01
34118,ABSA BANK LTD,A_operational,153382628.0,2008-07-01
34118,ABSA BANK LTD,B_notice_short,71707402.0,2008-07-01
34118,ABSA BANK LTD,C_savings,48455419.0,2008-07-01
34118,ABSA BANK LTD,D_term_wholesale,195344088.0,2008-07-01
416053,FIRSTRAND BANK LIMITED,A_operational,195750138.54,2008-07-01
416053,FIRSTRAND BANK LIMITED,B_notice_short,37337157.15,2008-07-01
416053,FIRSTRAND BANK LIMITED,C_savings,1794100.57,2008-07-01
416053,FIRSTRAND BANK LIMITED,D_term_wholesale,138225263.66,2008-07-01
416061,THE STANDARD BANK OF S A LTD,A_operational,141971899.0,2008-07-01
416061,THE STANDARD BANK OF S A LTD,B_notice_short,98890432.0,2008-07-01
416061,THE STANDARD BANK OF S A LTD,C_savings,34300223.0,2008-07-01
416061,THE STANDARD BANK OF S A LTD,D_term_wholesale,172129687.0,2008-07-01
416088,NEDBANK LTD,A_operational,155655532.0,2008-07-01
416088,NEDBANK LTD,B_notice_short,66026373.0,2008-07-01
416088,NEDBANK LTD,C_savings,8315613.0,2008-07-01
416088,NEDBANK LTD,D_term_wholesale,142412767.0,2008-07-01
TOTAL,*TOTAL*,A_operational,734612633.76,2008-07-01
TOTAL,*TOTAL*,B_notice_short,340659417.85,2008-07-01
TOTAL,*TOTAL*,C_savings,100148465.57000001,2008-07-01
TOTAL,*TOTAL*,D_term_wholesale,779299183.96,2008-07-01
25054,INVESTEC BANK LTD,A_operational,31955319.0,2008-08-01
25054,INVESTEC BANK LTD,B_notice_short,28083017.0,2008-08-01
25054,INVESTEC BANK LTD,C_savings,3492409.0,2008-08-01
25054,INVESTEC BANK LTD,D_term_wholesale,65165839.0,2008-08-01
333107,CAPITEC BANK,A_operational,79989.0,2008-08-01
