Period,KBP,Value
2015-02-01,KBP1613M,2.18
2015-02-01,KBP1614M,4.19
2015-02-01,KBP1615M,2.66
2015-02-01,KBP1616M,5.26
2015-02-01,KBP1617M,5.76
2015-02-01,KBP1618M,6.13
2015-02-01,KBP1619M,6.63
2015-02-01,KBP1620M,6.32
2015-02-01,KBP1621M,7.07
2015-02-01,KBP1622M,7.4
2015-02-01,KBP1623M,7.81
2015-02-01,KBP1624M,6.32
2015-02-01,KBP1625M,5.44
2015-02-01,KBP1485M,5.75
2015-03-01,KBP1600M,2.28
2015-03-01,KBP1601M,4.92
2015-03-01,KBP1602M,5.47
2015-03-01,KBP1603M,5.0
2015-03-01,KBP1604M,0.73
2015-03-01,KBP1605M,5.03
2015-03-01,KBP1606M,5.0
2015-03-01,KBP1607M,5.55
2015-03-01,KBP1608M,5.92
2015-03-01,KBP1609M,6.2
2015-03-01,KBP1610M,6.7
2015-03-01,KBP1611M,8.0
2015-03-01,KBP1612M,8.55
